epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.33149999380111694,0.0005000000237487257,1.710296392440796,0.4440000057220459,1.3105415105819702
1,0.44850000739097595,0.0005000000237487257,1.2916532754898071,0.492000013589859,1.2214739322662354
2,0.5149999856948853,0.0005000000237487257,1.2209244966506958,0.5260000228881836,1.1757479906082153
3,0.5285000205039978,0.0005000000237487257,1.1675539016723633,0.5759999752044678,1.1200010776519775
4,0.5544999837875366,0.0005000000237487257,1.096118688583374,0.5519999861717224,1.112316370010376
5,0.578499972820282,0.0005000000237487257,1.0673965215682983,0.6000000238418579,1.0307462215423584
6,0.5879999995231628,0.0005000000237487257,1.0280699729919434,0.5720000267028809,1.0924502611160278
7,0.5989999771118164,0.0005000000237487257,1.0285332202911377,0.593999981880188,1.0423028469085693
8,0.6349999904632568,0.0005000000237487257,0.980908989906311,0.6039999723434448,1.0307234525680542
9,0.6165000200271606,0.0005000000237487257,0.96048504114151,0.6019999980926514,1.008895993232727
10,0.6359999775886536,0.0005000000237487257,0.9407334923744202,0.6119999885559082,0.9838111996650696
11,0.6439999938011169,0.0005000000237487257,0.9254958629608154,0.6100000143051147,0.9992070198059082
12,0.6549999713897705,0.0005000000237487257,0.8986443877220154,0.6060000061988831,0.9815699458122253
13,0.6554999947547913,0.0005000000237487257,0.8821815848350525,0.5920000076293945,1.03132963180542
14,0.6514999866485596,0.0005000000237487257,0.88025963306427,0.6119999885559082,1.0197155475616455
15,0.6650000214576721,0.0005000000237487257,0.8657400608062744,0.6000000238418579,1.0302962064743042
16,0.6664999723434448,0.0005000000237487257,0.8544098138809204,0.628000020980835,0.9742575883865356
17,0.6765000224113464,0.0005000000237487257,0.8315659761428833,0.6079999804496765,1.0467864274978638
18,0.6830000281333923,0.0005000000237487257,0.8165162205696106,0.6259999871253967,0.9837115406990051
19,0.6660000085830688,0.0005000000237487257,0.8345705270767212,0.6259999871253967,0.9519921541213989
20,0.6984999775886536,0.0005000000237487257,0.7829078435897827,0.6179999709129333,0.9842198491096497
21,0.7129999995231628,0.0005000000237487257,0.7630110383033752,0.6159999966621399,0.9766587615013123
22,0.7110000252723694,0.0005000000237487257,0.7557550668716431,0.628000020980835,0.9764598608016968
23,0.7059999704360962,0.0005000000237487257,0.7585088610649109,0.6399999856948853,0.9667261838912964
24,0.7279999852180481,0.0005000000237487257,0.7319753170013428,0.6380000114440918,0.9503442645072937
25,0.722000002861023,0.0005000000237487257,0.726530909538269,0.6299999952316284,0.9583118557929993
26,0.7294999957084656,0.0005000000237487257,0.7237752079963684,0.5960000157356262,1.0196284055709839
27,0.7124999761581421,0.0005000000237487257,0.7207838296890259,0.6320000290870667,0.9549261927604675
28,0.7319999933242798,0.0005000000237487257,0.7069363594055176,0.6159999966621399,0.9754813313484192
29,0.7254999876022339,0.0005000000237487257,0.709091067314148,0.6100000143051147,0.9917235970497131
30,0.7475000023841858,0.0002500000118743628,0.6689541339874268,0.6240000128746033,0.9818929433822632
31,0.7544999718666077,0.0002500000118743628,0.6581777334213257,0.628000020980835,0.9651312232017517
32,0.7684999704360962,0.0002500000118743628,0.6482561826705933,0.6380000114440918,0.9626203775405884
33,0.7570000290870667,0.0002500000118743628,0.6466130018234253,0.6520000100135803,0.9532104730606079
34,0.7574999928474426,0.0002500000118743628,0.6431573033332825,0.6420000195503235,0.9607634544372559
35,0.7615000009536743,0.0001250000059371814,0.634986400604248,0.6320000290870667,0.9675812721252441
36,0.7739999890327454,0.0001250000059371814,0.6158053874969482,0.6439999938011169,0.9679645895957947
37,0.777999997138977,0.0001250000059371814,0.6088420748710632,0.6480000019073486,0.9597276449203491
38,0.765999972820282,0.0001250000059371814,0.6179355382919312,0.6359999775886536,0.9654348492622375
39,0.7699999809265137,0.0001250000059371814,0.6110084652900696,0.6480000019073486,0.953451931476593
