epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.320499986410141,0.0005000000237487257,2.0089774131774902,0.328000009059906,1.5838435888290405
1,0.382999986410141,0.0005000000237487257,1.4474023580551147,0.21799999475479126,1.842181921005249
2,0.4205000102519989,0.0005000000237487257,1.3845607042312622,0.20999999344348907,2.649925947189331
3,0.42649999260902405,0.0005000000237487257,1.3446701765060425,0.20999999344348907,3.785459041595459
4,0.42100000381469727,0.0005000000237487257,1.3674187660217285,0.20999999344348907,4.385413646697998
5,0.4415000081062317,0.0005000000237487257,1.3197335004806519,0.2160000056028366,4.513859748840332
6,0.46050000190734863,0.0002500000118743628,1.2821571826934814,0.21799999475479126,4.49071741104126
7,0.4740000069141388,0.0002500000118743628,1.26083505153656,0.23399999737739563,4.532893657684326
8,0.47049999237060547,0.0002500000118743628,1.2479994297027588,0.25600001215934753,3.9171063899993896
9,0.48350000381469727,0.0002500000118743628,1.2429285049438477,0.3140000104904175,3.4349498748779297
10,0.48100000619888306,0.0002500000118743628,1.2426766157150269,0.35199999809265137,3.103367567062378
11,0.4814999997615814,0.0001250000059371814,1.2049968242645264,0.41999998688697815,2.43180513381958
12,0.5015000104904175,0.0001250000059371814,1.206291675567627,0.41999998688697815,2.2623183727264404
13,0.5109999775886536,0.0001250000059371814,1.1924105882644653,0.4519999921321869,1.9338103532791138
14,0.5084999799728394,0.0001250000059371814,1.1968716382980347,0.45399999618530273,1.7237752676010132
15,0.5009999871253967,0.0001250000059371814,1.1822242736816406,0.4880000054836273,1.480997920036316
16,0.5239999890327454,0.0001250000059371814,1.154499888420105,0.47999998927116394,1.454879879951477
17,0.5070000290870667,0.0001250000059371814,1.1807929277420044,0.49799999594688416,1.3277814388275146
18,0.5235000252723694,0.0001250000059371814,1.165037751197815,0.492000013589859,1.306191086769104
19,0.5304999947547913,0.0001250000059371814,1.1514958143234253,0.4959999918937683,1.2953509092330933
20,0.527999997138977,0.0001250000059371814,1.1580162048339844,0.4860000014305115,1.272972822189331
21,0.5164999961853027,0.0001250000059371814,1.1570849418640137,0.5080000162124634,1.2443883419036865
22,0.531499981880188,0.0001250000059371814,1.1439456939697266,0.5019999742507935,1.2288744449615479
23,0.5210000276565552,0.0001250000059371814,1.1442797183990479,0.5080000162124634,1.240181803703308
24,0.527999997138977,0.0001250000059371814,1.1392022371292114,0.5120000243186951,1.218558430671692
25,0.546500027179718,0.0001250000059371814,1.1315603256225586,0.5059999823570251,1.236336588859558
26,0.5270000100135803,0.0001250000059371814,1.130346655845642,0.5260000228881836,1.2169811725616455
27,0.5419999957084656,0.0001250000059371814,1.1280832290649414,0.5320000052452087,1.2193710803985596
28,0.5515000224113464,0.0001250000059371814,1.1263715028762817,0.5339999794960022,1.1906784772872925
29,0.5460000038146973,0.0001250000059371814,1.1177575588226318,0.5080000162124634,1.2010924816131592
30,0.5485000014305115,0.0001250000059371814,1.1112406253814697,0.5199999809265137,1.2622369527816772
31,0.5460000038146973,0.0001250000059371814,1.1046035289764404,0.527999997138977,1.2011463642120361
32,0.5534999966621399,0.0001250000059371814,1.1121693849563599,0.5139999985694885,1.2069851160049438
33,0.5534999966621399,0.0001250000059371814,1.1044765710830688,0.5299999713897705,1.181637167930603
34,0.5554999709129333,0.0001250000059371814,1.087548017501831,0.5379999876022339,1.1857938766479492
35,0.5550000071525574,0.0001250000059371814,1.1059147119522095,0.527999997138977,1.211367130279541
36,0.5659999847412109,0.0001250000059371814,1.0772464275360107,0.5379999876022339,1.215507984161377
37,0.5730000138282776,0.0001250000059371814,1.0688077211380005,0.527999997138977,1.2398136854171753
38,0.5789999961853027,0.0001250000059371814,1.0653541088104248,0.5320000052452087,1.1896874904632568
39,0.5820000171661377,6.25000029685907e-05,1.0573973655700684,0.5299999713897705,1.2325165271759033
40,0.5600000023841858,6.25000029685907e-05,1.0648263692855835,0.5260000228881836,1.2125474214553833
41,0.5479999780654907,6.25000029685907e-05,1.0866050720214844,0.5379999876022339,1.195379614830017
42,0.5640000104904175,6.25000029685907e-05,1.066930890083313,0.5299999713897705,1.194805383682251
43,0.5715000033378601,6.25000029685907e-05,1.0511868000030518,0.5299999713897705,1.1909801959991455
44,0.5740000009536743,3.125000148429535e-05,1.0514556169509888,0.527999997138977,1.1851222515106201
45,0.5895000100135803,3.125000148429535e-05,1.0360780954360962,0.5400000214576721,1.1916537284851074
46,0.5745000243186951,3.125000148429535e-05,1.0449086427688599,0.5239999890327454,1.1986656188964844
47,0.5774999856948853,3.125000148429535e-05,1.0447051525115967,0.5360000133514404,1.1943625211715698
48,0.5774999856948853,3.125000148429535e-05,1.0443207025527954,0.5379999876022339,1.2067314386367798
